,index,brand,name,price,Touchscreen,Gaming,os,warranty,display_inches,resolution_width,resolution_height,ram_gb,ram_type,rom_gb,rom_type,core_count,gpu_brand,gpu_name,cpu_gen,cpu_brand,cpu_name,rating
706,707.0,MSI,MSI CreatorPro Z16 HX B13VKTO-214IN Laptop (13th Gen Core i9/ 64GB/ 2TB SSD/ Win11/ RTX 3000 Ada),428389.0,not-touchscreen,not-gaming,windows,2 ,16.0,2560.0,1600.0,64 ,DDR5,,SSD,24 ,NVIDIA,8 GB  RTX 3000 Ada,13,Intel,Intel Core i9 13950HX,89.0
707,708.0,Lenovo,Lenovo IdeaPad Slim 3 82RK00EMIN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),47790.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,10 ,Intel,‎ Iris Xe Graphics,12,Intel,Intel Core i5 1235U,62.0
708,709.0,Lenovo,Lenovo IdeaPad Flex 5 14IRU8 82Y0004TIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),89990.0,touchscreen,not-gaming,windows,1 ,14.0,1920.0,1200.0,16 ,LPDDR4X,512,SSD,10 ,Intel,Integrated Iris Xe,13,Intel,Intel Core i7 1355U,65.0
709,710.0,MSI,MSI Bravo 15 B7ED-011IN Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),79990.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR5,512,SSD,8,AMD,4 GB  Radeon RX6550M,7,AMD,AMD Ryzen 7 7735HS,70.0
710,711.0,HP,HP 14s-dr3002TU Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11 Home),26990.0,not-touchscreen,not-gaming,windows,1 ,14.0,1366.0,768.0,8 ,DDR4,512,SSD,2,Intel,UHD Graphics,0,Intel,,
711,712.0,Lenovo,Lenovo IdeaPad Slim 1 82VG00EVIN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),34990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,LPDDR5,512,SSD,4,AMD,Radeon Graphics,7,AMD,AMD Ryzen 3 7320U,
712,713.0,Asus,Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),88990.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR5,,SSD,8,NVIDIA,4 GB  GeForce RTX RTX 3050,6,AMD,AMD Ryzen 7  6800H,71.0
713,714.0,Asus,Asus Vivobook 16 2023 X1605VA-MB957WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),95689.0,not-touchscreen,not-gaming,windows,1 ,16.0,1920.0,1200.0,16 ,DDR4,,SSD,14 ,Intel,Integrated  Iris Xe Graphics,13,Intel,Intel Core i9 13900H,73.0
714,715.0,Acer,Acer Chromebook CB314-3H NX.K04SI.007 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Chrome OS),23990.0,not-touchscreen,not-gaming,other,1 ,14.0,1280.0,1024.0,8 ,LPDDR4X,128,SSD,2,Intel,Integrated UHD,0,Intel,,
715,716.0,Dell,Dell Latitude 14 3420 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro),104999.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,16 ,DDR4,512,SSD,4,Intel,Iris Xe Graphics,11,Intel,Intel Core i7 1165G7,69.0
716,717.0,HP,HP Zbook FireFly 14 G8 4F0W6PA Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 ),89999.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,16 ,DDR4,512,SSD,4,Intel,UHD Graphics,11,Intel,Intel Core i5 1135G7,70.0
717,718.0,Dell,Dell Inspiron 15 3511 IN35117W5CCS01ORB1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),47290.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,4,Intel,Integrated UHD Graphics,11,Intel,Intel Core i5 1135G7,
718,719.0,Asus,Asus Vivobook S14 Flip TN3402QA-LZ751WS Laptop (AMD Ryzen 7/ 16GB/ 1TB SSD/Win11),75000.0,touchscreen,not-gaming,windows,1 ,14.0,1920.0,1200.0,16 ,DDR4,,SSD,8,AMD,Radeon Graphics,5,AMD,AMD Ryzen 7 5800H,62.0
719,720.0,Lenovo,Lenovo IdeaPad 1 15AMN7 82VG00J5IN Laptop (AMD Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11 Home),45990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,LPDDR5,512,SSD,4,AMD,Radeon 610M,7,AMD,AMD Ryzen 5 7520U,
720,721.0,Dell,Dell Vostro 3520 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),56340.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,4,Intel,UHD Graphics,11,Intel,Intel Core i5 1135G7,
721,722.0,Lenovo,Lenovo V14 G4 Laptop (AMD Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),31990.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,8 ,LPDDR5,512,SSD,4,AMD,Radeon,7,AMD,AMD Ryzen 3 7320U,
722,723.0,MSI,MSI Creator M16 B13VE-1271IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ RTX4050),132589.0,not-touchscreen,not-gaming,windows,2 ,16.0,1920.0,1200.0,32 ,DDR5,,SSD,14 ,NVIDIA,6 GB  GeForce RTX 4050,13,Intel,Intel Core i7 13700H,82.0
723,724.0,Lenovo,Lenovo V15 G3 82TTA02UIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),48990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,10 ,Intel,Integrated UHD,12,Intel,Intel Core i5 1235U,63.0
724,725.0,Dell,Dell Vostro 3525 Laptop (AMD Ryzen 5-5500U/ 8GB/ 512GB SSD/ Win11),39990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,6,AMD,Radeon Graphics,5,AMD,AMD Ryzen 5 5500U,
725,726.0,Dell,Dell Latitude 5430 Business Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win10 Pro),87000.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,16 ,,512,SSD,10 ,Intel,Graphics,12,Intel,Intel Core i5 1245U,
726,727.0,Lenovo,Lenovo IdeaPad Slim 3i 82X70032IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),43999.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,LPDDR5,512,SSD,5 ,Intel,UHD Graphics,13,Intel,Intel Core i3 1305U,
727,728.0,Lenovo,Lenovo IdeaPad Flex 5 Gen 8 82XX0070IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),61990.0,touchscreen,not-gaming,windows,1 ,14.0,1920.0,1200.0,16 ,LPDDR4X,512,SSD,6,AMD,Radeon,7,AMD,AMD Ryzen 5 7530U,69.0
728,729.0,Lenovo,Lenovo IdeaPad 3 82H802L3IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,2,Intel,Integrated UHD,11,Intel,Intel Core i3 1115G4,
729,730.0,HP,HP ZBook Firefly 16 G9 6V2X7PA Workstation PC Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),123100.0,not-touchscreen,not-gaming,windows,1 ,16.0,1920.0,1200.0,16 ,DDR5,,SSD,10 ,Intel,Iris Xe Graphics,12,Intel,Intel Core i7 1255U,75.0
730,731.0,Lenovo,Lenovo IdeaPad Slim 3 82H803HPIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),47990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,512,SSD,4,Intel,Iris Xe Graphics,11,Intel,Intel Core i5 1155G7,
731,732.0,Acer,Acer Aspire Lite 15 AL15-51 Laptop (11th Gen Core i3/16GB/ 512GB SSD/ Win11),34990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,512,SSD,2,Intel,UHD Graphics,11,Intel,Intel Core i3 1115G4,62.0
732,733.0,Lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),57990.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,4,NVIDIA,4 GB  GeForce GTX 2050,11,Intel,Intel Core i5 11320H,65.0
733,734.0,Lenovo,Lenovo Yoga 6 13ABR8 83B2007UIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),88990.0,touchscreen,not-gaming,windows,1 ,13.3,1920.0,1200.0,16 ,LPDDR4X,,SSD,8,AMD,Radeon Graphics,7,AMD,AMD Ryzen 7 7730U,71.0
734,735.0,Lenovo,Lenovo IdeaPad Flex 5 82R900D4IN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),61990.0,touchscreen,not-gaming,windows,1 ,14.0,1920.0,1200.0,16 ,DDR4,512,SSD,8,AMD,Radeon,5,AMD,AMD Ryzen 7 5700U,63.0
735,736.0,HP,HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50990.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,6,AMD,4 GB  Radeon RX 6500M,5,AMD,AMD Ryzen 5  5600H,67.0
736,737.0,Lenovo,Lenovo Legion Slim 5 82Y9009KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),112990.0,not-touchscreen,gaming,windows,1 ,16.0,1920.0,1200.0,16 ,DDR5,512,SSD,8,NVIDIA,6 GB  GeForce RTX 4050,7,AMD,AMD Ryzen 7 7840HS,79.0
737,738.0,Lenovo,Lenovo Legion Slim 5 16APH8 82Y90042IN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),127990.0,not-touchscreen,gaming,windows,1 ,16.0,2560.0,1600.0,16 ,DDR5,512,SSD,8,NVIDIA,8 GB  GeForce RTX 4060,7,AMD,AMD Ryzen 7 7840HS,83.0
738,739.0,HP,HP Pavilion x360 14-ek1021TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),91590.0,touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,16 ,DDR4,512,SSD,10 ,Intel,Integrated Iris Xe,13,Intel,Intel Core i7 1355U,70.0
739,740.0,Lenovo,Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),69990.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,512,SSD,8,NVIDIA,4 GB  GeForce RTX 3050,12,Intel,Intel Core i5 12450H,66.0
740,741.0,Lenovo,Lenovo S14 Gen 3 82TW001DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),47990.0,not-touchscreen,not-gaming,windows,3 ,14.0,1920.0,1080.0,8 ,,512,SSD,10 ,Intel,UHD Graphics,12,Intel,Intel Core i5 1235U,
741,742.0,HP,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),95010.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,512,SSD,12 ,NVIDIA,6 GB  GeForce RTX 4050,13,Intel,Intel Core i5 13500H,71.0
742,743.0,Lenovo,Lenovo Yoga Pro 7 82Y700A2IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),99990.0,not-touchscreen,not-gaming,windows,1 ,14.5,2560.0,1600.0,16 ,LPDDR5,,SSD,14 ,Intel,Integrated  Iris Xe Graphics,13,Intel,Intel Core i7 13700H,65.0
743,744.0,Lenovo,Lenovo Yoga Pro 7 82Y700A3IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),129990.0,not-touchscreen,not-gaming,windows,1 ,14.5,3072.0,1920.0,16 ,LPDDR5,,SSD,14 ,Intel,Integrated  Iris Xe Graphics,13,Intel,Intel Core i7 13700H,67.0
744,745.0,Lenovo,Lenovo Legion Pro 5 16IRX8 82WK00LNIN Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),172990.0,not-touchscreen,gaming,windows,1 ,16.0,2560.0,1600.0,32 ,DDR5,,SSD,16 ,NVIDIA,8 GB  GeForce RTX 4070,13,Intel,Intel Core i7 13700HX,78.0
745,746.0,HP,HP 15-fc0027AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),39600.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,LPDDR5,512,SSD,4,AMD,Radeon,7,AMD,AMD Ryzen 3 7320U,
746,747.0,Acer,Acer Swift Go 14 NX.KG3SI.005 Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),49990.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1080.0,16 ,LPDDR4X,512,SSD,6,AMD,Radeon Graphics,7,AMD,AMD Ryzen 5  7530U,60.0
747,748.0,Asus,Asus VivoBook 15 X515MA-BR022WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),26849.0,not-touchscreen,not-gaming,windows,1 ,15.6,1366.0,768.0,8 ,DDR4,512,SSD,2,Intel,Integrated UHD 600,0,Intel,,
748,749.0,Fujitsu,Fujitsu CH‎ 4ZR1L82433 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),74990.0,not-touchscreen,not-gaming,windows,2 ,13.3,1920.0,1080.0,16 ,DDR5,512,SSD,10 ,Intel,Iris Xe Graphics,13,Intel,Intel Core i5 1334U,66.0
749,750.0,Fujitsu,Fujitsu CH‎ 4ZR1L82434 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),89990.0,not-touchscreen,not-gaming,windows,2 ,13.3,1920.0,1080.0,16 ,DDR5,512,SSD,10 ,Intel,Iris Xe Graphics,13,Intel,Intel Core i7 1355U,67.0
750,751.0,Tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),34990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,LPDDR4,512,SSD,2,Intel,UHD Graphics,11,Intel,Intel Core i3 1115G4,63.0
751,752.0,Asus,Asus Vivobook 15X OLED M3504YA-LK752WS Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),75990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,,SSD,8,AMD,Integrated  Radeon Graphics,7,AMD,AMD Ryzen 7  7730U,67.0
752,753.0,HP,HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),61990.0,not-touchscreen,gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR5,512,SSD,6,NVIDIA,4 GB  GeForce RTX 2050,7,AMD,AMD Ryzen 5 7535HS,67.0
753,754.0,Lenovo,Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),36490.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,8 ,DDR4,512,SSD,2,Intel,UHD Graphics,11,Intel,Intel Core i3 1115G4,
754,755.0,Lenovo,Lenovo Yoga 7 82YL0060IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),112990.0,touchscreen,not-gaming,windows,1 ,14.0,2880.0,1800.0,16 ,LPDDR5,512,SSD,12 ,Intel,Integrated  Iris Xe Graphics,13,Intel,Intel Core i7 1360P,76.0
755,756.0,Lenovo,Lenovo IdeaPad Flex 5 82Y00053IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),91101.0,touchscreen,not-gaming,windows,1 ,14.0,1920.0,1200.0,16 ,,512,SSD,10 ,Intel,‎ Iris Xe Graphics,13,Intel,Intel Core i7 1355U,
756,757.0,Lenovo,Lenovo Ideapad Slim 5 82XE004QIN Laptop (AMD Ryzen 5 7530U/ 16 GB RAM/ 512 GB SSD/ Win 11),66388.0,not-touchscreen,not-gaming,windows,1 ,14.0,1920.0,1200.0,16 ,DDR4,512,SSD,6,AMD,Radeon Graphics,7,AMD,AMD Ryzen 5 7530U,62.0
757,758.0,Asus,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),69990.0,not-touchscreen,not-gaming,windows,1 ,15.6,1920.0,1080.0,16 ,DDR4,,SSD,6,NVIDIA,4 GB  GeForce RTX 3050,5,AMD,AMD Ryzen 5 5600HS,63.0
